identificador;nome_instituicao;estado;lct;situacao;tipo_instituicao;datadisponibilizacao
1280;ASSOCIAÇÃO MINEIRA DE ENTIDADES DE INTERESSE SOCIAL;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1281;INSTITUTO CULTURAL FLÁVIO GUTIERREZ;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1282;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS;MINAS GERAIS;NÃO;ATIVA;PÚBLICA ESTADUAL;2025-05-21
1283;INSTITUTO ESTADUAL DE FLORESTAS;MINAS GERAIS;NÃO;ATIVA;PÚBLICA ESTADUAL;2025-05-21
1285;INSTITUTO ESTADUAL DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO DE MINAS GERAIS;MINAS GERAIS;SIM;ATIVA;PÚBLICA ESTADUAL;2025-05-21
1286;INSTITUTO DE GEOINFORMAÇÃO E TECNOLOGIA;MINAS GERAIS;NÃO;ATIVA;PÚBLICA ESTADUAL;2025-05-21
1287;INSTITUTO MINEIRO DE GESTÃO DAS ÁGUAS;MINAS GERAIS;NÃO;ATIVA;PÚBLICA ESTADUAL;2025-05-21
1288;INSTITUTO MINEIRO DE AGROPECUÁRIA;MINAS GERAIS;NÃO;ATIVA;PÚBLICA ESTADUAL;2025-05-21
1289;INSTITUTO DE DESENVOLVIMENTO ECONÔMICO E SOCIAL DE ITABIRA;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1290;INSTITUTO EDUCACIONAL CÂNDIDA DE SOUZA/ FACULDADE DE ENGENHARIA E AGRIMENSURA DE MINAS GERAIS;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1291;ASSOCIAÇÃO MINEIRA DE FARMACÊUTICOS HOMEOPATAS;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1292;INSTITUTO CIDADE;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1293;INSTITUTO DE ENSINO E PESQUISA DA SANTA CASA DE BELO HORIZONTE;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1294;INSTITUTO DO PATRIMÔNIO HIISTÓRICO E ARTÍSTICO NACIONAL;MINAS GERAIS;NÃO;INATIVA;PÚBLICA FEDERAL;2025-05-21
1295;INSTITUTO GUAICUY SOS RIO DAS VELHAS;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1296;INSTITUTO RENNO & KALLAS DE ENSINO DE E PESQUISA;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1297;INSTITUTO DE TECNOLOGIA APLICADA;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1298;INSTITUTO METODISTA IZABELA HENDRIX/CENTRO UNIVERSITARIO ISABELA HENDRIX;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1299;LABORATÓRIO NACIONAL AGROPECUÁRIO -MG;MINAS GERAIS;NÃO;INATIVA;PÚBLICA FEDERAL;2025-05-21
1300;LABORATÓRIO NACIONAL DE ASTROFÍSICA;MINAS GERAIS;SIM;ATIVA;PÚBLICA FEDERAL;2025-05-21
1301;ASSOCIAÇÃO NACIONAL DE CLÍNICOS VETERINÁRIOS PEQUENOS ANIMAIS;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1302;MINISTÉRIO DA FAZENDA;MINAS GERAIS;NÃO;INATIVA;PÚBLICA FEDERAL;2025-05-21
1303;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;MINAS GERAIS;NÃO;ATIVA;PÚBLICA ESTADUAL;2025-05-21
1304;PREFEITURA DE ITABIRITO;MINAS GERAIS;NÃO;INATIVA;PÚBLICA MUNICIPAL;2025-05-21
1305;PREFEITURA DE POÇO FUNDO;MINAS GERAIS;NÃO;INATIVA;PÚBLICA MUNICIPAL;2025-05-21
1306;PREFEITURA DE SÃO JOÃO DEL REI;MINAS GERAIS;NÃO;INATIVA;PÚBLICA MUNICIPAL;2025-05-21
1307;PREFEITURA MUNICIPAL DE ALFENAS;MINAS GERAIS;NÃO;INATIVA;PÚBLICA MUNICIPAL;2025-05-21
1308;PREFEITURA MUNICIPAL DE GUIMARÃNIA;MINAS GERAIS;NÃO;INATIVA;PÚBLICA MUNICIPAL;2025-05-21
1309;PREFEITURA MUNICIPAL DE IBIRACI;MINAS GERAIS;NÃO;INATIVA;OUTROS;2025-05-21
1310;ASSOCIAÇÃO PRO-CULTURA E PROMOÇÃO DAS ARTES;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1311;PREFEITURA MUNICIPAL DE ITAMOGI;MINAS GERAIS;NÃO;INATIVA;PÚBLICA MUNICIPAL;2025-05-21
1312;PREFEITURA MUNICIPAL DE ITUTINGA;MINAS GERAIS;NÃO;INATIVA;PÚBLICA MUNICIPAL;2025-05-21
1313;PREFEITURA MUNICIPAL DE NOVA LIMA;MINAS GERAIS;NÃO;INATIVA;PÚBLICA MUNICIPAL;2025-05-21
1314;PREFEITURA MUNICIPAL DE POTÉ;MINAS GERAIS;NÃO;INATIVA;PÚBLICA MUNICIPAL;2025-05-21
1315;PREFEITURA MUNICIPAL DE POUSO ALTO;MINAS GERAIS;NÃO;INATIVA;PÚBLICA MUNICIPAL;2025-05-21
1316;PREFEITURA MUNICPAL DE BAEPENDI;MINAS GERAIS;NÃO;INATIVA;PÚBLICA MUNICIPAL;2025-05-21
1317;EMPR. INF. E INFORM. MUNICÍPIO DE BH;MINAS GERAIS;NÃO;INATIVA;PRIVADA COM FINS LUCRATIVOS;2025-05-21
1318;FUNDAÇÃO APRENDER PARA EDUCAÇÃO, CULTURA, CIÊNCIA E TECNOLOGIA;MINAS GERAIS;NÃO;ATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1319;COMPANHIA DE TECNOLOGIA DA INFORMAÇÃO DO ESTADO DE MINAS GERAIS;MINAS GERAIS;NÃO;ATIVA;OUTROS;2025-05-21
1320;PREFEITURA MUNICIPAL DE SANTA RITA DO SAPUCAÍ;MINAS GERAIS;NÃO;ATIVA;PÚBLICA MUNICIPAL;2025-05-21
1321;SOCIEDADE MINEIRA DE CULTURA/ PONTIFICIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;MINAS GERAIS;SIM;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1322;REDE MINEIRA DE INOVAÇÃO;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1323;FUNDAÇÃO RURAL MINEIRA;MINAS GERAIS;NÃO;INATIVA;PÚBLICA ESTADUAL;2025-05-21
1324;SECRETARIA DE ESTADO DE CULTURA E TURISMO;MINAS GERAIS;NÃO;ATIVA;PÚBLICA ESTADUAL;2025-05-21
1325;SECRETARIA DE ESTADO DE SAÚDE DE MINAS GERAIS;MINAS GERAIS;NÃO;ATIVA;PÚBLICA ESTADUAL;2025-05-21
1326;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO;MINAS GERAIS;NÃO;ATIVA;PÚBLICA ESTADUAL;2025-05-21
1327;SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL;MINAS GERAIS;NÃO;ATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1328;SENAI ITAÚNA CETEF  MARCELINO CORRADI;MINAS GERAIS;NÃO;ATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1329;ASSOCIAÇÃO COMUNITÁRIA DE CAPIM BRANCO;MINAS GERAIS;NÃO;ATIVA;OUTROS;2025-05-21
1331;SINDICATO DAS IND DA MARC CARP E SERRARIA UBERABA;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1332;SINDICATO INTERMUNICIPAL DAS INDUSTRIAS DE CALÇADOS DE NOVA SERRANA;MINAS GERAIS;NÃO;INATIVA;OUTROS;2025-05-21
1333;SINDICATO INTERMUNICIPAL DAS INDUSTRIAS DE MARCENARIA DE UBÁ;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1334;SINDICATO DAS INDUSTRIAS DE EXPLOSIVOS NO ESTADO DE MINAS GERAIS;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1336;SOCIEDADE MINEIRA DE INFECTOLOGIA;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1337;"SOCIEDADE BENEFICENTE ""ANTÔNIO MARQUES""";MINAS GERAIS;NÃO;INATIVA;OUTROS;2025-05-21
1338;SOCIEDADE EDUCACIONAL E CULTURAL DE SABARÁ;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1339;SOCIEDADE DE USUÁRIOS DE INFORMÁTICA E TELECOMUNICAÇÕES;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1340;ASSOCIAÇÃO DAS EMPRESAS BRASILEIRAS DE TECNOLOGIA DA INFORMAÇÃO, SOFTWARE E INTERNET DE MINAS GERAIS;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1343;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;MINAS GERAIS;SIM;ATIVA;PÚBLICA ESTADUAL;2025-05-21
1344;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;MINAS GERAIS;SIM;ATIVA;PÚBLICA FEDERAL;2025-05-21
1345;UNIVERSIDADE FEDERAL DE LAVRAS;MINAS GERAIS;SIM;ATIVA;PÚBLICA FEDERAL;2025-05-21
1346;UNIVERSIDADE FEDERAL DE MINAS GERAIS;MINAS GERAIS;SIM;ATIVA;PÚBLICA FEDERAL;2025-05-21
1347;UNIVERSIDADE FEDERAL DE OURO PRETO;MINAS GERAIS;SIM;ATIVA;PÚBLICA FEDERAL;2025-05-21
1348;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI;MINAS GERAIS;SIM;ATIVA;PÚBLICA FEDERAL;2025-05-21
1349;UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO;MINAS GERAIS;SIM;ATIVA;PÚBLICA FEDERAL;2025-05-21
1350;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;MINAS GERAIS;SIM;ATIVA;PÚBLICA FEDERAL;2025-05-21
1351;ASSOCIAÇÃO COMERCIAL E AGROINDUSTRIAL DE TRÊS PONTAS;MINAS GERAIS;NÃO;INATIVA;PRIVADA SEM FINS LUCRATIVOS;2025-05-21
1352;UNIVERSIDADE FEDERAL DE VIÇOSA;MINAS GERAIS;SIM;ATIVA;PÚBLICA FEDERAL;2025-05-21
1353;UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI;MINAS GERAIS;SIM;ATIVA;PÚBLICA FEDERAL;2025-05-21
1354;UNIVERSIDADE FEDERAL DE ALFENAS;MINAS GERAIS;SIM;ATIVA;PÚBLICA FEDERAL;2025-05-21
